name,char,line,direction,type,pri_type,domain,sub_domain,nv_resp,interaction,char_type,is_fed,error,value_id
102,Tasha,Battle bridge.,The doors snap closed and the lift moves. Riker looks Tasha over  waiting  then:,Statement,Statement,IoT,Turbolift,TRUE,Battle bridge.,Person,TRUE,FALSE,255
102,Young Ensign,You must be new to these galaxy class starships  sir. (puts hand on the black surface  saying) Tell me the location of Commander Data.,At the touch and the words 'Tell me' the black surface comes alive with light patterns showing appropriate information.,Command,Command,InfoSeek,Locate,FALSE,Tell me the location of Commander Data.,Person,TRUE,FALSE,421
102,Computer Voice,Lieutenant Commander Data... now located in Holodeck area 4-J.,,Response,Response,InfoSeek,Locate,FALSE,Lieutenant Commander Data... now located in Holodeck area 4-J.,Computer,TRUE,FALSE,422
102,Computer Voice,(continuing without delay) And if you care to enter  Commander...,,Alert,Alert,Entertainment,Holodeck,FALSE,And if you care to enter  Commander...,Computer,TRUE,FALSE,429
102,Computer Voice,(continuing without delay) And if you care to enter  Commander...,,Conversation,Alert,Entertainment,Holodeck,FALSE,And if you care to enter  Commander...,Computer,TRUE,FALSE,429
102,Riker,(snaps; interrupting) I do.,Immediately  the hatch slides open and we SEE THE PARKLAND (LOCATION). It looks (and is) real  including land contours  trees  and even a small stream nearby. Beyond that the Parkland stretches off for what appears to be miles and miles away to the horizon. As Riker ENTERS through it and stands inspecting the Parkland scene with genuine appreciation and then HEARS SOMEONE WHISTLING A MELODY  but doing it rather badly and laboriously. As he MOVES AWAY  seeking the source of the WHISTLING which will begin to grow LOUDER now. As Riker crosses  stepping from rock to rock. He makes a misstep  almost falls  then recovers and gets across. He looks back at the stone which caused it. As he walks  the WHISTLING is nearby now. He stops  calls:,Conversation,Statement,Entertainment,Holodeck,TRUE,I do.,Person,TRUE,FALSE,430
102,Riker,(snaps; interrupting) I do.,Immediately  the hatch slides open and we SEE THE PARKLAND (LOCATION). It looks (and is) real  including land contours  trees  and even a small stream nearby. Beyond that the Parkland stretches off for what appears to be miles and miles away to the horizon. As Riker ENTERS through it and stands inspecting the Parkland scene with genuine appreciation and then HEARS SOMEONE WHISTLING A MELODY  but doing it rather badly and laboriously. As he MOVES AWAY  seeking the source of the WHISTLING which will begin to grow LOUDER now. As Riker crosses  stepping from rock to rock. He makes a misstep  almost falls  then recovers and gets across. He looks back at the stone which caused it. As he walks  the WHISTLING is nearby now. He stops  calls:,Statement,Statement,Entertainment,Holodeck,TRUE,I do.,Person,TRUE,FALSE,430
104,Picard,(continuing; toward controls) Cargo One. (to Riker and Troi) Should be an interesting experience.,,Statement,Statement,IoT,Turbolift,TRUE,Cargo One.,Person,TRUE,FALSE,4
104,Tasha,This way  please. Aikido. One.,An Aikido Opponent MATERIALIZES (DISSOLVES IN) ON A MAT. The IMAGE remains rigid  immobile. The visitors are much impressed.,Statement,Statement,Entertainment,Holodeck,TRUE,Aikido. One.,Person,TRUE,FALSE,45
104,Tasha,(into the air) Aikido  vanish. I could create two -- even three  but one is really enough. As you fight with it  it learns  and before long it knows exactly how to defeat you.,The IMAGE DISSOLVES. Tasha goes to the panel  shuts down the controls  takes a towel from the wall  wipes off  and removes her jacket.,Command,Command,Entertainment,Holodeck,TRUE,Aikido  vanish.,Person,TRUE,FALSE,54
105,Picard,(to turbolift) Passenger accommodations.,The turbolift will go upwards for a ways  then travel horizontally. Meanwhile:,Statement,Statement,IoT,Turbolift,TRUE,Passenger accommodations.,Person,TRUE,FALSE,84
110,Riker,Computer  tell me Captain Picard's location!,,Wake Word,Command,InfoSeek,Locate,FALSE,Computer  tell me Captain Picard's location!,Person,TRUE,FALSE,326
110,Riker,Computer  tell me Captain Picard's location!,,Command,Command,InfoSeek,Locate,FALSE,Computer  tell me Captain Picard's location!,Person,TRUE,FALSE,326
110,Computer,Captain Picard is in Transporter Room Three.,,Response,Response,InfoSeek,Locate,FALSE,Captain Picard is in Transporter Room Three.,Computer,TRUE,FALSE,327
